,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
200,birjand,75,IR,1552665600,28,32.86,59.22,59,13.87
201,marquette,90,US,1552666618,74,46.54,-87.4,28.99,18.34
203,rize,75,TR,1552665000,93,41.02,40.52,48.2,9.17
204,zhigansk,12,RU,1552666486,38,66.77,123.37,-11.87,2.73
205,port blair,0,IN,1552666473,100,11.67,92.75,82.54,9.22
207,plavsk,88,RU,1552666748,91,53.71,37.29,30.43,12.24
208,khanu woralaksaburi,12,TH,1552666749,74,16.06,99.86,79.84,2.39
209,darhan,12,MN,1552666749,74,49.49,105.92,27.55,2.73
210,naze,40,NG,1552662000,79,5.43,7.07,86,3.36
211,palmdale,1,US,1552666504,51,34.58,-118.12,62.6,6.2
212,cabedelo,75,BR,1552665600,62,-6.97,-34.84,87.8,16.11
213,quelimane,44,MZ,1552666543,84,-17.88,36.89,85.69,10.33
214,mersing,12,MY,1552666750,91,2.43,103.84,78.04,6.64
215,dikson,24,RU,1552666426,83,73.51,80.55,-2.15,3.96
216,hamilton,90,CA,1552666263,81,43.26,-79.87,46.99,23.04
217,vila franca do campo,20,PT,1552666413,77,37.72,-25.43,59,8.05
218,changji,0,CN,1552666750,73,32.07,116.17,44.56,2.95
219,sharanga,44,RU,1552666750,77,57.18,46.54,25.03,7.2
220,kavaratti,0,IN,1552666428,100,10.57,72.64,83.62,7.65
221,padang,40,ID,1552662000,94,-0.92,100.36,78.8,2.24
222,portland,40,US,1552666269,86,45.52,-122.67,45,2.62
224,beringovskiy,80,RU,1552666470,84,63.05,179.32,8.65,21.85
225,lichuan,92,CN,1552666751,66,30.3,108.94,44.02,2.17
226,begijnendijk,92,BE,1552666726,87,51.02,4.78,55.4,20.8
227,talaya,0,RU,1552666529,55,55.79,84.89,37,8.95
228,nguru,8,NG,1552666751,15,12.88,10.45,100.09,16.82
229,fortuna,0,ES,1552666406,52,38.18,-1.13,78.01,10.29
230,gamba,64,CN,1552666407,58,28.28,88.52,5.77,2.17
232,norman wells,40,CA,1552662000,83,65.28,-126.83,-4.01,2.24
233,arraial do cabo,20,BR,1552665600,66,-22.97,-42.02,89.6,12.75
234,matongo,20,BI,1552662000,62,-3.07,29.61,84.2,11.41
235,ohara,68,JP,1552666470,92,35.12,135.83,44.01,2.73
236,saint-philippe,75,CA,1552666351,61,45.36,-73.48,52,28.86
237,itoman,75,JP,1552666396,42,26.12,127.67,66.2,17.22
238,surat thani,20,TH,1552666662,83,9.14,99.33,80.6,6.93
239,bubaque,0,GW,1552666753,69,11.28,-15.83,88.21,3.62
240,juegang,0,CN,1552666753,61,32.31,121.18,48,10
241,chapais,90,CA,1552662000,93,49.78,-74.86,41,17.22
242,mnogovershinnyy,24,RU,1552666469,80,53.94,139.92,9.64,1.28
243,dingle,0,PH,1552666411,78,11,122.67,76.87,11.68
244,sarh,0,TD,1552665600,10,9.14,18.39,104,6.93
245,sitka,0,US,1552665729,52,37.17,-99.65,41,11.01
246,jiangyou,92,CN,1552666754,92,31.78,104.73,48.52,2.95
247,port augusta,0,AU,1552666186,87,-32.49,137.76,66.99,4.7
248,haines junction,24,CA,1552666529,67,60.75,-137.51,9.55,2.17
249,araure,24,VE,1552666754,56,9.59,-69.23,88.39,3.18
250,ribeira grande,40,PT,1552663800,72,38.52,-28.7,62.6,11.41
251,mecca,0,SA,1552666755,31,21.43,39.83,82.18,8.77
252,razole,0,IN,1552666755,99,16.48,81.84,82.27,9.1
253,carballo,0,ES,1552666411,66,43.21,-8.69,64.99,8.05
254,airai,92,TL,1552666426,78,-8.93,125.41,70.84,1.39
255,san miguel,75,AR,1552666707,73,-34.54,-58.72,77,16.11
256,zrece,90,SI,1552666706,41,46.38,15.38,61,5.82
257,praia da vitoria,40,PT,1552665611,68,38.73,-27.07,64.4,13.91
